car_id,car_company,car_name,model_year,price,km_covered,mileage,customer_review_rating,description,years_used
1,Toyota,Corolla,2022,1200000,10000,15,8,"Reliable sedan with spacious interior. Smooth ride, excellent fuel economy",1
2,Honda,Civic,2022,1250000,8000,14,9,"Stylish and fuel-efficient sedan. Great handling, comfortable seats",1
3,Hyundai,i20,2022,1100000,7000,16,8,"Compact hatchback with modern features. Good value for money, easy to maneuver",1
4,Maruti Suzuki,Swift,2022,1150000,6000,17,8,"Popular hatchback known for its agility. Fun to drive, low maintenance costs",1
5,Volkswagen,Polo,2022,1300000,5000,16,7,"Sporty hatchback with solid build quality. Dated interior design, average fuel efficiency",1
6,Ford,Figo,2022,1100000,4000,18,7,"Affordable hatchback with decent performance. Spacious cabin, noisy engine",1
7,Renault,Kwid,2022,1000000,3000,20,6,"Compact hatchback with SUV-inspired styling. Basic features, average build quality",1
8,Tata,Nexon,2022,1500000,2000,19,8,"Compact SUV with modern design and features. Comfortable ride, decent ground clearance",1
9,Kia,Seltos,2022,1600000,1000,18,9,"Stylish and feature-loaded compact SUV. Luxurious cabin, smooth transmission",1
10,MG,Hector,2022,1800000,500,17,8,"Spacious and tech-laden midsize SUV. Generous cargo space, average build quality",1
11,Skoda,Octavia,2022,2000000,100,16,9,"Elegant sedan with premium interior. Smooth ride, advanced safety features",1
12,Jeep,Compass,2022,2200000,50,15,7,"Compact SUV with rugged off-road capability. Uncomfortable seats, poor fuel efficiency",1
13,BMW,3 Series,2022,3500000,20,14,9,"Dynamic and luxurious executive sedan. Responsive handling, premium interior materials",1
14,Mercedes-Benz,C-Class,2022,3200000,10,13,8,"Sophisticated and comfortable luxury sedan. Refined engine, elegant design",1
15,Audi,A4,2022,3000000,5,12,8,"Premium sedan with cutting-edge technology. Spacious cabin, smooth acceleration",1
16,Volvo,XC60,2022,3400000,2,11,8,"Luxurious and safe midsize SUV. Plush interior, impressive safety features",1
17,Jaguar,XF,2022,3700000,1,10,7,"Sleek and sporty luxury sedan. Attractive design, underwhelming infotainment system",1
